175.224  0  0  
165.017  0  0  
159.745  0  0  
156.113  0  0  
153.239  0  0  
150.76  0  0  
148.49  0  0  
146.563  0  0  
144.775  0  0  
143.15  0  0  
141.527  0  0  
139.887  0  0  
138.238  0  0  
136.559  0  0  
134.815  0  0  
134.196  -200  -200  
137.606  -200  -200  
153.932  -200  -200  
174.579  -200  -200  
189.314  -200  -200  
201.24  -200  -200  
211.814  -200  -200  
221.401  -200  -200  
230.514  -200  -200  
244.728  -200  -200  
260.79  -200  -200  
276.042  -200  -200  
290.497  -200  -200  
304.289  -200  -200  
317.31  -200  -200  
