3882.87	0.294362	0.0347793	0.670859	261.424
3882.85	0.294409	0.0347673	0.670824	261.424
3882.81	0.294528	0.0347377	0.670734	261.421
3882.7	0.29477	0.0346823	0.670548	261.416
3882.51	0.295206	0.0345906	0.670203	261.407
3882.18	0.295916	0.0344512	0.669633	261.391
3881.66	0.296956	0.0342557	0.668788	261.365
3880.87	0.298303	0.0340013	0.667696	261.327
3879.76	0.299747	0.0336972	0.666556	261.272
3878.24	0.302222	0.0331859	0.664592	261.198
3876.23	0.305832	0.0324649	0.661703	261.099
3873.67	0.309747	0.03168	0.658573	260.974
3870.5	0.313433	0.0309539	0.655613	260.818
3866.7	0.316461	0.0303892	0.65315	260.632
3862.28	0.318579	0.0300495	0.651372	260.416
3857.28	0.319684	0.0299621	0.650354	260.171
3851.78	0.319766	0.0301275	0.650107	259.902
3845.88	0.318874	0.0305263	0.6506	259.613
3839.69	0.317111	0.031122	0.651767	259.31
3833.33	0.314676	0.0318457	0.653478	258.998
3826.91	0.311881	0.0326449	0.655474	258.683
3820.56	0.309023	0.0334496	0.657527	258.372
3814.38	0.306378	0.0341999	0.659422	258.07
3808.47	0.304099	0.0348659	0.661035	257.78
3802.88	0.302296	0.0354302	0.662274	257.507
3797.68	0.301007	0.0358927	0.6631	257.252
3792.9	0.300223	0.0362693	0.663508	257.018
3788.56	0.299859	0.0365929	0.663548	256.805
3784.66	0.299724	0.0369205	0.663355	256.614
3781.19	0.299739	0.0372973	0.662964	256.444
3778.15	0.29987	0.037734	0.662396	256.295
3775.51	0.300142	0.0381915	0.661666	256.166
3773.25	0.30053	0.0386018	0.660869	256.055
3771.35	0.300846	0.0389344	0.66022	255.962
3769.77	0.301085	0.0391769	0.659738	255.885
3768.48	0.30127	0.0393384	0.659392	255.821
3767.45	0.301424	0.0394379	0.659138	255.771
3766.64	0.301558	0.0395022	0.65894	255.732
3766.03	0.301674	0.039559	0.658767	255.702
3765.59	0.301773	0.0396214	0.658606	255.68
3765.28	0.301854	0.0396924	0.658453	255.665
3765.08	0.301921	0.0397646	0.658315	255.655
3764.96	0.301976	0.0398282	0.658196	255.649
3764.91	0.302022	0.03988	0.658098	255.647
